system:index,LST_C,NDBI,NDVI,NDWI,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,latitude,longitude,.geo
3079,42.75533462000001,0.07162457137905577,0.5159706898003875,-0.56761634023815,0.05346749999999999,0.07757124999999998,0.08979499999999999,0.28123624999999997,0.32463125000000004,0.18086125,8.674895951449601,-76.12238377676834,"{""type"":""Point"",""coordinates"":[-76.12230853982798,8.674994426735802]}"
3080,36.66442298000004,-0.16110368333835495,0.6564324883392155,-0.6494865355612999,0.028799999999999992,0.0655125,0.063945,0.30829625000000005,0.22274375000000002,0.11869749999999998,9.124951908793483,-75.9385884696375,"{""type"":""Point"",""coordinates"":[-75.93869751493,9.1250395319092]}"
3081,45.67774172000003,0.009633938440210559,0.5767284928697921,-0.6038271778166279,0.035221249999999996,0.06529249999999998,0.0709575,0.26432375,0.26946625,0.148315,8.986431691982252,-75.97658720615574,"{""type"":""Point"",""coordinates"":[-75.97653810851946,8.986339089132573]}"
3082,33.50959052000002,-0.43696969044105244,0.8645650360858605,-0.7436538712910112,0.0235475,0.07354250000000001,0.036335000000000006,0.5002325000000001,0.196,0.08275500000000002,9.243260031712023,-75.62381879408201,"{""type"":""Point"",""coordinates"":[-75.62379305894567,9.243393757152138]}"
3083,42.384479450000015,0.032794356845085124,0.5630486049638825,-0.5988802294838342,0.04066625,0.07253874999999999,0.08082999999999999,0.28914249999999997,0.30875,0.16834875,9.075903894280556,-75.97389226030339,"{""type"":""Point"",""coordinates"":[-75.97387730530193,9.075961634159624]}"
3084,38.02821296000002,-0.203574018073461,0.6546966363161159,-0.6064699252335346,0.04879249999999999,0.08335999999999999,0.07101249999999998,0.34029250000000005,0.22517750000000003,0.10717500000000002,9.176694869158768,-75.68661103244196,"{""type"":""Point"",""coordinates"":[-75.68673345043548,9.176656124865751]}"
3085,36.618279710000024,-0.18457988700911437,0.6851234592582631,-0.6544945825184508,0.03112374999999999,0.06050749999999999,0.05414124999999999,0.2897475,0.19945125,0.09937874999999999,8.56898457945191,-76.18733197181018,"{""type"":""Point"",""coordinates"":[-76.18721504853436,8.568896750523006]}"
3086,43.951641620000004,0.06216953726708705,0.5050346028543338,-0.5529483528542019,0.056849999999999984,0.08428125,0.09628500000000001,0.2927725,0.33158875000000004,0.18471125,8.619380066891015,-76.05285417377749,"{""type"":""Point"",""coordinates"":[-76.05283123262183,8.619491105924663]}"
3087,39.42960116000006,-0.07648826880803906,0.44528967830921096,-0.4771950776580092,0.067575,0.10615750000000002,0.11512250000000002,0.29995,0.257325,0.16355000000000003,8.763290175406963,-75.84291789187876,"{""type"":""Point"",""coordinates"":[-75.8428377027082,8.763276387353125]}"
3088,38.42299427000003,-0.14112950114345513,0.5811683827704206,-0.5390187709805943,0.023478749999999993,0.07715875,0.068235,0.2576,0.1938825,0.09638125,9.30389631339009,-76.02051482354919,"{""type"":""Point"",""coordinates"":[-76.02038909569728,9.303869822673716]}"
